Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices ,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini Index(Household),Life Ladder
41,56,42,71,99,97,68,1,23,48,43,50,6.42514419555664
84,97,74,47,29,101,69,45,8,89,81,2,6.2434287071228
18,8,1,46,62,43,51,93,90,28,33,88,4.54254579544067
83,94,78,99,63,68,23,60,9,93,87,22,6.16683769226074
21,8,3,26,58,52,44,96,64,31,38,81,5.26837491989136
24,23,21,52,92,80,44,52,73,68,60,84,4.96680974960327
75,45,59,72,9,98,62,66,8,67,66,19,6.15087890625
3,9,24,7,60,75,70,93,66,44,11,95,4.07862043380737
19,19,7,26,66,64,27,78,66,10,10,78,4.93673753738403
37,57,33,98,33,36,76,98,98,34,49,69,5.8691725730896
14,28,10,35,40,35,63,24,88,20,3,98,3.73540019989014
91,69,90,74,9,22,64,8,41,97,99,51,5.9106764793396
52,63,62,75,24,79,95,68,16,45,59,79,5.98351240158081
85,88,64,51,2,51,9,56,39,90,90,38,6.06409788131714
105,109,81,82,100,9,89,25,72,97,100,26,7.04073143005371
72,28,75,28,36,91,36,75,6,77,77,16,5.3431658744812
86,83,87,31,79,47,39,58,43,54,93,1,6.92717885971069
93,94,83,69,103,10,80,35,42,83,101,46,7.2334451675415
109,75,92,101,93,0,86,10,104,83,112,92,6.37843799591064
106,110,85,109,90,11,105,24,85,107,108,20,7.59633159637451
78,76,56,5,13,100,40,41,22,73,78,6,5.4489016532898
89,108,86,108,91,3,103,6,84,110,107,34,7.370285987854
55,68,54,40,30,45,68,85,4,60,43,49,6.19092178344727
104,87,66,69,96,31,91,42,32,85,99,102,6.94370126724243
19,75,39,106,106,95,74,21,57,37,23,34,5.29738330841064
60,42,28,15,4,84,28,105,19,31,16,96,4.78238296508789
84,34,87,42,60,92,65,80,28,88,86,37,5.79461860656738
4,2,8,34,64,63,20,109,55,42,17,76,3.87857842445374
27,35,23,84,110,18,86,69,103,22,14,51,4.62311983108521
100,74,42,37,49,37,104,0,24,92,95,13,6.46700477600098
11,7,31,101,78,1,84,72,106,35,75,105,3.5610466003418
90,100,88,96,98,4,91,14,87,110,110,61,7.20517444610596
103,101,83,86,103,7,99,35,79,104,107,63,7.42526865005493
58,62,66,7,42,77,15,81,26,65,66,21,5.30406618118286
18,22,28,12,42,59,55,44,75,62,56,35,4.7693772315979
34,49,49,42,19,49,104,51,15,59,37,40,6.33931827545166
39,56,33,95,41,40,79,83,97,32,50,58,6.26774501800537
46,43,34,84,110,84,108,64,99,51,59,65,5.34029579162598
65,87,54,16,12,16,15,14,50,28,34,7,5.82145309448242
35,48,40,97,51,58,103,72,50,38,26,75,6.32511854171753
98,85,83,98,96,4,91,18,55,105,109,50,7.36874437332153
17,38,0,33,34,40,61,53,78,56,45,107,3.80820488929748
48,102,35,21,76,76,35,15,15,73,49,25,5.46462297439575
95,89,80,76,78,15,81,36,47,91,95,21,6.92834758758545
38,45,54,48,59,37,32,73,56,28,74,27,5.27128458023071
52,63,65,63,17,79,93,77,27,43,61,92,6.35029792785645
21,27,9,58,89,47,60,92,88,57,38,107,4.34754371643066
44,37,33,79,109,93,107,76,99,51,56,61,5.09840154647827
110,85,84,103,56,9,83,25,97,108,104,24,7.40401554107666
31,6,29,86,52,50,43,75,100,50,60,29,4.04611110687256
71,67,76,52,62,70,100,62,14,83,93,93,6.32011938095093
57,64,78,105,37,50,108,77,53,87,79,111,7.14107465744019
20,14,2,35,38,48,49,88,61,24,31,90,5.03773498535156
40,47,42,66,92,103,51,4,24,49,45,42,5.75941228866577
1,15,6,64,61,27,35,86,94,25,13,102,4.27986335754394
78,88,69,81,38,75,77,32,35,81,85,7,6.16207647323608
3,12,4,28,87,79,7,107,97,56,14,107,4.30568313598633
48,58,20,36,28,65,86,51,56,66,67,90,5.03486347198486
0,3,21,56,80,46,13,90,71,50,29,109,3.33463358879089
40,6,43,63,7,17,11,25,20,58,82,62,4.45077466964722
81,92,55,39,18,52,20,16,25,90,88,53,6.27294063568115
74,39,81,2,2,92,50,80,0,67,66,8,5.30261945724487
44,25,32,20,7,64,2,60,80,7,30,11,4.00545072555542
38,77,41,18,52,104,21,31,0,19,33,20,4.66190910339356
37,61,39,8,71,103,17,37,0,16,31,49,4.3110671043396
76,73,38,34,25,82,53,16,68,21,32,28,5.57874298095703
24,51,42,16,27,68,25,99,39,4,48,74,4.48253726959229
21,32,19,2,28,49,30,55,19,24,23,64,4.67815971374512
90,37,88,8,39,56,38,29,36,80,92,38,5.84023141860962
48,64,17,49,44,62,81,68,54,67,73,93,4.76973962783814
13,34,19,5,25,54,0,74,23,0,0,60,3.05751395225525
73,83,77,21,26,100,12,61,10,78,76,9,5.53627109527588
65,59,70,91,28,60,108,46,56,42,46,77,6.43194532394409
96,98,88,106,98,7,107,29,85,105,105,98,7.41486835479736
96,70,82,50,18,24,61,42,27,91,96,11,6.7721381187439
25,9,22,13,85,53,34,78,48,2,21,10,5.54850816726685
13,0,12,47,69,29,37,105,87,64,35,86,4.97636079788208
51,82,60,70,21,86,99,66,7,44,59,87,6.15734195709229
54,41,48,0,13,30,33,61,56,20,15,83,5.24891233444214
0,19,20,24,80,67,29,97,67,49,8,105,5.12146091461182
64,80,52,14,16,35,0,38,42,35,36,5,5.23376989364624
101,55,51,59,27,37,77,71,56,9,72,62,6.29428243637085
29,103,43,111,91,13,100,20,105,14,7,57,6.42144775390625
87,93,86,11,44,93,45,83,9,82,79,36,5.95452404022217
14,25,13,40,39,41,87,33,87,15,5,95,3.63830018043518
16,28,0,42,23,56,66,47,88,58,42,97,3.79530072212219
0,7,7,54,72,20,75,110,92,18,28,94,5.16400718688965
39,69,44,28,50,88,28,19,34,17,30,40,4.70176219940186
87,84,90,30,45,49,37,87,18,80,86,22,6.51337099075317
99,107,81,109,97,1,94,22,71,101,106,104,7.59370231628418
47,49,52,17,76,79,7,50,1,14,27,9,5.27072381973267
93,66,91,57,1,19,65,15,40,97,99,46,5.90803909301758
33,33,38,84,43,81,70,103,21,53,17,49,5.67427062988281
47,42,59,13,94,106,32,70,6,48,46,38,5.18086528778076
15,10,19,49,99,38,48,44,103,43,37,101,2.90273427963257
103,51,42,56,86,10,40,27,46,75,104,80,5.49842071533203
19,12,36,83,40,28,9,37,100,18,21,56,4.5561408996582
16,18,20,57,88,21,55,48,103,40,35,88,3.3471212387085
76,66,54,14,5,23,0,74,75,7,62,12,5.607262134552
82,105,65,56,12,88,66,10,54,75,79,37,6.00025987625122
16,29,41,53,100,32,5,87,82,38,20,59,5.4487247467041
42,49,18,58,11,69,56,57,92,76,67,99,4.44130611419678
79,100,52,10,0,104,16,44,17,92,91,21,5.86555242538452
81,65,84,84,6,97,53,67,45,99,92,66,6.09547328948975
64,74,72,61,11,69,95,76,16,70,53,36,6.08556079864502
90,89,82,100,105,28,52,87,89,101,91,37,6.73297739028931
89,109,85,105,107,4,91,8,77,110,111,60,7.32718276977539
102,62,53,76,10,37,74,60,56,11,74,68,6.35639333724976
12,0,32,80,81,1,63,102,106,34,75,105,3.26815223693848
79,77,82,93,18,87,35,63,59,100,93,59,5.71149921417236
53,44,62,31,73,99,10,70,14,49,64,21,5.01548528671265
72,44,57,70,21,100,62,35,21,68,72,44,6.08990478515625
75,98,78,36,29,102,7,52,18,77,76,16,5.6257438659668
76,35,83,6,0,81,40,47,2,72,73,7,5.40928936004639
42,62,19,41,16,74,64,40,81,76,71,110,4.83408784866333
29,53,38,6,65,106,24,55,0,52,34,28,5.57778406143189
104,93,88,103,85,7,78,22,97,106,110,79,7.45851993560791
97,71,81,70,97,11,63,17,81,95,102,8,7.07432460784912
89,42,87,4,70,77,25,37,31,73,90,35,5.87388706207275
78,55,61,73,8,105,49,42,3,69,69,39,6.12994241714478
102,101,83,98,99,8,107,21,85,103,107,67,7.4630970954895
101,91,81,94,104,12,100,28,71,103,107,46,7.54087734222412
7,21,22,28,69,42,21,71,95,2,26,48,4.18031549453735
26,8,23,20,41,38,34,100,65,21,6,59,5.21262264251709
104,88,68,80,101,26,96,51,36,82,100,102,6.99175930023193
82,66,76,85,6,29,58,6,58,79,83,2,6.24209403991699
109,91,91,92,94,0,94,0,104,80,113,52,6.03348064422607
39,44,57,57,26,25,11,106,86,47,62,42,5.06244850158691
2,24,23,7,48,82,90,21,56,45,12,71,3.6630859375
77,107,45,75,49,31,82,1,87,30,48,15,6.27226829528809
91,97,82,102,101,17,57,64,94,102,91,32,6.90971088409424
8,0,6,0,33,105,3,91,13,0,2,3,2.66171813011169
60,27,22,62,3,36,36,56,96,82,80,105,3.50488114356995
85,102,89,46,54,65,35,68,21,84,88,31,6.31861209869385
21,39,20,1,37,32,39,56,12,23,19,64,4.31361532211304
86,95,77,53,0,78,55,9,42,95,89,0,7.03416538238525
48,30,61,6,86,99,17,54,0,47,45,74,5.08990240097046
54,38,50,7,20,44,15,63,56,21,18,106,5.04308605194092
107,58,55,107,91,37,77,42,56,48,94,84,6.83095026016235
25,60,61,55,70,33,84,100,29,16,12,54,5.81895256042481
70,86,55,89,50,61,88,3,83,90,84,54,6.24116516113281
101,111,85,105,104,36,111,3,32,106,100,14,7.47621393203735
28,7,19,52,34,52,21,70,53,21,7,73,4.11949348449707
74,84,37,27,13,100,29,2,75,14,32,26,5.85494565963745
45,53,42,55,64,18,2,49,35,57,65,0,5.60805606842041
4,18,28,4,65,35,58,70,86,42,11,88,4.33908748626709
10,2,30,94,77,3,73,89,106,35,76,110,3.10837388038635
61,36,26,62,1,60,60,50,91,84,80,103,3.46136569976807
31,50,64,95,57,60,47,14,56,27,51,45,5.2955470085144
14,31,13,3,19,55,1,34,14,0,1,43,3.82563090324402
6,21,21,38,76,30,59,47,93,3,27,81,4.29784870147705
41,35,42,77,90,100,63,12,21,51,43,40,6.14919996261597
69,77,71,87,43,25,101,59,43,98,85,52,6.17148542404175
43,56,64,73,63,48,104,90,52,52,22,33,6.11543750762939
104,79,67,65,90,31,91,63,25,85,97,109,6.8826847076416
83,96,75,74,12,93,71,19,41,96,87,4,6.73562717437744
55,23,71,91,5,37,96,2,56,14,58,85,5.32495594024658
27,21,4,33,72,85,56,43,33,7,9,65,4.3564190864563
7,5,1,15,69,45,7,111,72,3,5,101,4.48632526397705
58,81,56,100,108,86,98,29,84,15,64,70,6.07363986968994
23,14,43,91,54,22,6,91,102,20,18,53,5.11421680450439
1,11,11,44,76,93,28,110,66,47,9,91,3.35467600822449
56,77,78,82,62,50,109,58,17,90,79,77,7.13561773300171
6,5,14,0,107,72,8,91,2,23,3,103,3.35230016708374
82,98,77,92,52,71,26,54,10,96,89,23,5.93682146072388
9,22,17,32,84,80,45,98,61,25,34,106,4.32171487808227
74,86,39,38,57,41,71,7,94,30,48,15,5.88235139846802
86,106,79,106,36,51,43,34,38,94,89,17,6.66527366638184
98,84,85,92,78,15,70,33,55,99,101,6,7.3960018157959
64,92,54,23,19,102,24,7,7,66,73,20,4.83756065368652
66,102,55,21,23,96,22,13,26,71,72,18,5.09690189361572
63,17,53,11,89,36,19,106,63,9,20,49,5.00614595413208
36,70,55,9,21,67,72,92,12,4,0,71,5.00566339492798
87,78,90,41,59,52,25,69,15,79,86,28,6.23017311096191
68,20,48,34,101,33,48,105,76,10,22,111,4.71678304672241
0,23,13,81,82,26,14,95,97,26,14,98,4.93213272094727
50,63,58,24,84,85,30,63,12,45,64,82,5.34574604034424
41,56,19,36,14,87,41,48,69,76,68,108,4.43581104278564
27,21,3,65,90,70,58,39,69,8,10,68,5.32192802429199
5,4,13,11,80,38,14,105,44,26,17,85,4.17949390411377
71,79,75,77,31,71,110,31,17,72,63,93,6.28143405914307
95,91,86,97,102,8,95,39,80,106,105,100,7.24484586715698
32,49,38,78,41,52,65,97,38,54,21,61,5.91573429107666
49,50,63,65,20,91,84,98,11,60,54,70,5.71093654632568
71,84,75,90,22,72,97,41,37,72,63,69,6.5676589012146
59,34,45,35,4,21,16,17,95,9,38,7,5.15227937698364
22,15,4,35,67,58,42,103,78,28,35,105,5.39201211929321
53,65,35,64,31,23,56,95,56,1,0,72,5.43358325958252
12,1,9,27,72,40,34,108,84,62,36,100,5.81982707977295
26,13,20,50,20,45,18,95,51,21,6,70,4.88399124145508
45,42,42,55,64,23,33,84,46,57,65,5,5.8271279335022
46,91,34,19,89,82,42,28,16,74,47,34,5.33385038375855
105,96,90,102,88,7,84,14,100,109,108,9,7.50858688354492
23,29,56,74,86,54,97,65,37,39,20,84,5.64815473556519
26,54,59,99,70,24,105,72,76,41,24,58,6.47635650634766
100,71,42,60,49,34,106,0,45,93,95,28,6.53708982467651
94,94,79,79,51,14,74,49,42,91,97,19,6.94893646240234
32,31,36,85,32,65,49,104,44,53,18,41,5.65055274963379
35,55,43,95,66,46,109,49,49,38,25,104,6.62659168243408
94,110,80,110,67,2,82,8,76,105,111,51,7.78825187683106
15,30,16,44,48,74,53,26,66,19,6,86,3.61647987365723
66,61,67,60,15,61,110,27,20,46,42,63,6.54957866668701
68,52,49,62,93,91,81,43,69,92,84,33,5.61000347137451
76,98,41,70,35,66,47,5,79,30,53,31,6.00763607025147
38,19,53,9,22,98,16,105,4,27,57,30,4.32547187805176
61,32,24,22,8,63,31,104,35,35,22,90,4.83176422119141
50,105,36,25,95,86,52,5,7,75,49,31,5.56290531158447
59,33,29,29,9,66,32,102,23,29,15,73,4.78300905227661
68,90,56,31,17,105,31,13,7,71,72,17,5.09881353378296
28,104,40,111,102,14,101,3,105,12,7,87,5.89253902435303
33,46,32,94,45,53,92,61,96,28,51,85,5.430832862854
2,4,23,45,65,25,5,85,72,54,29,106,3.86912369728088
77,57,56,3,16,59,0,85,61,12,55,25,5.1856894493103
94,110,81,104,30,2,79,11,68,104,111,24,7.85810708999634
17,67,39,46,55,14,59,9,102,7,7,13,5.4640154838562
96,103,85,99,104,10,84,39,48,102,103,81,7.25008010864258
106,111,86,110,83,5,96,26,87,108,108,14,7.44426202774048
106,107,86,108,103,5,105,20,90,107,112,12,7.57874488830566
97,106,87,96,108,11,79,33,48,99,102,53,7.25703763961792
42,7,40,49,8,41,10,42,21,56,83,48,4.65909719467163
44,35,32,67,110,90,98,84,98,56,51,45,5.13632535934448
100,109,83,104,71,0,92,22,82,104,106,70,7.64878559112549
58,61,49,79,24,45,66,62,43,62,40,80,5.43321561813355
70,38,72,19,48,88,22,81,22,76,77,22,5.41687536239624
56,90,78,104,46,39,110,56,40,89,78,68,7.22518157958984
42,42,71,66,32,72,90,92,5,55,28,54,5.8091311454773
88,98,85,102,105,6,98,23,70,109,112,48,7.22568798065186
30,71,44,64,56,102,12,53,9,49,40,39,5.6822772026062
1,16,14,35,68,84,41,98,67,50,9,97,4.4244909286499
90,99,82,100,105,28,57,70,93,103,93,47,6.67566585540772
8,22,23,37,76,58,37,55,101,7,29,57,4.37926244735718
35,26,54,83,35,26,109,54,90,59,39,69,6.45482063293457
28,41,2,56,73,94,61,46,41,11,8,76,5.21956777572632
88,85,88,15,63,89,35,99,5,81,77,63,6.51652669906616
92,108,81,63,104,13,77,35,40,88,102,30,6.82428359985352
43,43,31,16,26,64,21,91,80,6,25,25,4.55674076080322
55,72,60,10,46,90,4,65,47,64,61,19,5.75275468826294
83,95,60,22,5,78,4,28,25,88,88,13,6.30887889862061
17,54,25,37,38,54,80,43,82,62,54,49,4.59453392028809
11,0,8,32,56,46,23,107,79,65,31,94,4.85318088531494
28,29,27,93,109,21,78,67,101,11,13,50,4.4106330871582
88,54,89,25,43,83,27,78,8,81,78,10,6.44541692733765
108,100,83,78,97,7,90,27,80,100,98,27,6.96233558654785
91,76,90,69,47,29,72,15,31,95,100,12,5.95465087890625
67,81,70,68,15,72,89,62,22,70,56,35,6.03933000564575
97,81,85,87,94,15,67,10,45,101,100,10,7.29372787475586
108,56,53,71,35,37,46,75,56,43,58,86,5.94719457626343
3,12,3,25,85,76,18,109,91,55,13,96,4.08956241607666
69,105,58,63,34,103,39,18,14,69,72,23,5.10843801498413
97,80,79,81,97,12,63,12,67,97,103,21,6.87376308441162
46,49,58,9,53,94,1,53,7,13,23,8,5.16718673706055
7,1,5,0,42,101,0,100,32,1,2,4,2.69430327415466
6,27,6,14,69,35,23,82,86,39,41,91,4.20563459396362
73,67,51,14,47,45,1,97,74,6,63,15,5.32622194290161
54,80,53,45,14,55,56,71,3,61,47,35,6.3329291343689
43,10,31,7,22,64,7,101,80,5,28,29,3.92934417724609
36,4,50,48,4,73,30,102,56,36,52,87,4.89679193496704
63,78,60,90,108,86,102,24,51,17,64,63,6.02215147018433
45,28,33,49,10,64,4,74,80,6,28,5,4.32783174514771
80,99,66,71,25,20,59,9,28,94,96,18,5.6496753692627
49,40,61,67,28,83,93,83,18,61,57,71,5.70062875747681
53,40,52,0,63,39,13,28,56,17,16,6,4.74462747573853
109,91,92,105,81,0,57,1,104,83,113,33,6.3783597946167
84,48,89,54,69,76,68,65,30,86,86,60,6.27644300460815
99,96,84,105,83,5,93,5,56,104,107,29,7.37479209899902
92,89,89,60,28,16,75,59,35,78,96,23,6.66590356826782
32,10,30,88,82,59,36,88,93,46,63,52,3.81806874275208
29,59,62,98,42,57,38,18,56,32,50,67,5.17527866363525
90,32,89,24,51,34,44,38,34,74,90,66,5.90281677246094
37,3,53,42,2,42,14,101,56,36,54,110,5.05675172805786
97,70,84,86,79,13,69,34,70,96,103,14,7.03547239303589
62,92,47,17,29,22,8,11,47,29,30,7,5.17789936065674
